[2025-07-22 22:41:23] [NEW] udp      17 30 src=192.168.10.111 dst=142.250.203.110 sport=53935 dport=443 [UNREPLIED] src=142.250.203.110 dst=192.168.10.111 sport=443 dport=53935
[2025-07-22 22:43:25] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=36971 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=36971
[2025-07-22 22:43:25] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=53173 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=53173
[2025-07-22 22:43:25] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=172.217.168.74 sport=33842 dport=443 [UNREPLIED] src=172.217.168.74 dst=192.168.10.111 sport=443 dport=33842
[2025-07-22 22:44:35] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=53031 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=53031
[2025-07-22 22:44:35] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=58213 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=58213
[2025-07-22 22:44:35] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=192.168.10.30 sport=51186 dport=443 [UNREPLIED] src=192.168.10.30 dst=192.168.10.111 sport=443 dport=51186
[2025-07-22 22:49:35] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=34347 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=34347
[2025-07-22 22:49:35] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=44141 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=44141
[2025-07-22 22:49:35] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=192.168.10.30 sport=44184 dport=443 [UNREPLIED] src=192.168.10.30 dst=192.168.10.111 sport=443 dport=44184
[2025-07-22 22:53:03] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=41647 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=41647
[2025-07-22 22:53:03] [NEW] udp      17 30 src=192.168.10.111 dst=34.36.137.203 sport=39171 dport=443 [UNREPLIED] src=34.36.137.203 dst=192.168.10.111 sport=443 dport=39171
[2025-07-22 22:53:08] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=42603 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=42603
[2025-07-22 22:53:08] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=52432 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=52432
